participant_uid,participant_index,trial_number,pattern_id,success,solution_sequence_ops,solution_sequence_ops_json,solution_sequence_steps_json,solution_sequence_symbolic_json,solution_sequence_symbolic_str,solution_signature,steps_count,time_spent_sec
P_1769032566401_7v6dxp0ys,6,9,9,1,reflect_h -> reflect_v -> overlap -> overlap -> add -> reflect_v -> add -> add,"[""reflect_h"",""reflect_v"",""overlap"",""overlap"",""add"",""reflect_v"",""add"",""add""]","[""reflect_h"",""reflect_v"",""overlap"",""overlap"",""add"",""reflect_v"",""add"",""add""]","[""W1 = reflect_h(line_h)"",""W2 = reflect_v(line_v)"",""W3 = overlap(line_h, line_v)"",""W4 = overlap(W1, W2)"",""W5 = add(W3, W4)"",""W6 = reflect_v(W5)"",""W7 = add(W5, W6)"",""W8 = add(square, W7)""]","W1 = reflect_h(line_h) ; W2 = reflect_v(line_v) ; W3 = overlap(line_h, line_v) ; W4 = overlap(W1, W2) ; W5 = add(W3, W4) ; W6 = reflect_v(W5) ; W7 = add(W5, W6) ; W8 = add(square, W7)",reflect_h|reflect_v|overlap|overlap|add|reflect_v|add|add,8,154.208
P_1769032566401_7v6dxp0ys,6,10,10,1,invert,"[""invert""]","[""invert""]","[""W1 = invert(H107)""]",W1 = invert(H107),invert,1,12.593
P_1769032566401_7v6dxp0ys,6,11,11,1,add -> reflect_h -> reflect_v -> add -> add -> invert -> add,"[""add"",""reflect_h"",""reflect_v"",""add"",""add"",""invert"",""add""]","[""add"",""reflect_h"",""reflect_v"",""add"",""add"",""invert"",""add""]","[""W1 = add(line_h, line_v)"",""W2 = reflect_h(line_h)"",""W3 = reflect_v(line_v)"",""W4 = add(W1, W2)"",""W5 = add(W3, W4)"",""W6 = invert(W5)"",""W7 = add(H106, W6)""]","W1 = add(line_h, line_v) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = add(W1, W2) ; W5 = add(W3, W4) ; W6 = invert(W5) ; W7 = add(H106, W6)",add|reflect_h|reflect_v|add|add|invert|add,7,235.136
P_1769032566401_7v6dxp0ys,6,12,12,1,invert -> add,"[""invert"",""add""]","[""invert"",""add""]","[""W1 = invert(H108)"",""W2 = add(square, W1)""]","W1 = invert(H108) ; W2 = add(square, W1)",invert|add,2,31.668
P_1769032566401_7v6dxp0ys,6,13,13,1,reflect_v -> add -> subtract,"[""reflect_v"",""add"",""subtract""]","[""reflect_v"",""add"",""subtract""]","[""W1 = reflect_v(diag)"",""W2 = add(diag, W1)"",""W3 = subtract(W2, H106)""]","W1 = reflect_v(diag) ; W2 = add(diag, W1) ; W3 = subtract(W2, H106)",reflect_v|add|subtract,3,52.199
P_1769032566401_7v6dxp0ys,6,14,14,1,add -> reflect_h -> reflect_v -> add -> add -> add -> subtract,"[""add"",""reflect_h"",""reflect_v"",""add"",""add"",""add"",""subtract""]","[""add"",""reflect_h"",""reflect_v"",""add"",""add"",""add"",""subtract""]","[""W1 = add(line_h, line_v)"",""W2 = reflect_h(line_h)"",""W3 = reflect_v(line_v)"",""W4 = add(W2, W1)"",""W5 = add(W3, W4)"",""W6 = add(H110, W5)"",""W7 = subtract(W6, H106)""]","W1 = add(line_h, line_v) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = add(W2, W1) ; W5 = add(W3, W4) ; W6 = add(H110, W5) ; W7 = subtract(W6, H106)",add|reflect_h|reflect_v|add|add|add|subtract,7,186.576
P_1769032697144_ortl9e9kr,7,1,1,1,reflect_v -> add -> reflect_h -> add -> add,"[""reflect_v"",""add"",""reflect_h"",""add"",""add""]","[""reflect_v"",""add"",""reflect_h"",""add"",""add""]","[""W1 = reflect_v(line_v)"",""W2 = add(W1, line_v)"",""W3 = reflect_h(line_h)"",""W4 = add(W3, line_h)"",""W5 = add(W2, W4)""]","W1 = reflect_v(line_v) ; W2 = add(W1, line_v) ; W3 = reflect_h(line_h) ; W4 = add(W3, line_h) ; W5 = add(W2, W4)",reflect_v|add|reflect_h|add|add,5,262.312
P_1769032697144_ortl9e9kr,7,2,2,1,add -> add,"[""add"",""add""]","[""add"",""add""]","[""W1 = add(H114, H112)"",""W2 = add(W1, square)""]","W1 = add(H114, H112) ; W2 = add(W1, square)",add|add,2,28.799
P_1769032697144_ortl9e9kr,7,3,3,1,invert,"[""invert""]","[""invert""]","[""W1 = invert(H116)""]",W1 = invert(H116),invert,1,8.474
P_1769032697144_ortl9e9kr,7,4,4,1,subtract -> reflect_h -> subtract,"[""subtract"",""reflect_h"",""subtract""]","[""subtract"",""reflect_h"",""subtract""]","[""W1 = subtract(square, diag)"",""W2 = reflect_h(diag)"",""W3 = subtract(W1, W2)""]","W1 = subtract(square, diag) ; W2 = reflect_h(diag) ; W3 = subtract(W1, W2)",subtract|reflect_h|subtract,3,80.215
P_1769032697144_ortl9e9kr,7,5,5,1,add -> add,"[""add"",""add""]","[""add"",""add""]","[""W1 = add(diag, H118)"",""W2 = add(square, W1)""]","W1 = add(diag, H118) ; W2 = add(square, W1)",add|add,2,57.694
P_1769032697144_ortl9e9kr,7,6,6,1,invert,"[""invert""]","[""invert""]","[""W1 = invert(H121)""]",W1 = invert(H121),invert,1,13.5
P_1769032697144_ortl9e9kr,7,7,7,1,add,"[""add""]","[""add""]","[""W1 = add(H115, H120)""]","W1 = add(H115, H120)",add,1,21.112
P_1769032697144_ortl9e9kr,7,8,8,1,invert -> add -> subtract -> add -> subtract -> subtract,"[""invert"",""add"",""subtract"",""add"",""subtract"",""subtract""]","[""invert"",""add"",""subtract"",""add"",""subtract"",""subtract""]","[""W1 = invert(H115)"",""W2 = add(H114, W1)"",""W3 = subtract(W2, H112)"",""W4 = add(W1, H112)"",""W5 = subtract(W4, H114)"",""W6 = subtract(H112, W5)""]","W1 = invert(H115) ; W2 = add(H114, W1) ; W3 = subtract(W2, H112) ; W4 = add(W1, H112) ; W5 = subtract(W4, H114) ; W6 = subtract(H112, W5)",invert|add|subtract|add|subtract|subtract,6,301.786
P_1769032697144_ortl9e9kr,7,9,9,1,add,"[""add""]","[""add""]","[""W1 = add(H129, square)""]","W1 = add(H129, square)",add,1,19.743
P_1769032697144_ortl9e9kr,7,10,10,1,invert,"[""invert""]","[""invert""]","[""W1 = invert(H130)""]",W1 = invert(H130),invert,1,22.678
P_1769032697144_ortl9e9kr,7,11,11,1,add,"[""add""]","[""add""]","[""W1 = add(H124, H129)""]","W1 = add(H124, H129)",add,1,24.498
P_1769032697144_ortl9e9kr,7,12,12,1,invert -> add,"[""invert"",""add""]","[""invert"",""add""]","[""W1 = invert(H132)"",""W2 = add(W1, square)""]","W1 = invert(H132) ; W2 = add(W1, square)",invert|add,2,31.791
P_1769032697144_ortl9e9kr,7,13,13,1,subtract,"[""subtract""]","[""subtract""]","[""W1 = subtract(H120, H129)""]","W1 = subtract(H120, H129)",subtract,1,18.916
P_1769032697144_ortl9e9kr,7,14,14,1,subtract,"[""subtract""]","[""subtract""]","[""W1 = subtract(H123, H129)""]","W1 = subtract(H123, H129)",subtract,1,55.37
P_1769032023139_3mzliskl7,8,1,1,1,reflect_v -> add -> reflect_h -> add -> add,"[""reflect_v"",""add"",""reflect_h"",""add"",""add""]","[""reflect_v"",""add"",""reflect_h"",""add"",""add""]","[""W1 = reflect_v(line_v)"",""W2 = add(line_v, W1)"",""W3 = reflect_h(line_h)"",""W4 = add(line_h, W3)"",""W5 = add(W2, W4)""]","W1 = reflect_v(line_v) ; W2 = add(line_v, W1) ; W3 = reflect_h(line_h) ; W4 = add(line_h, W3) ; W5 = add(W2, W4)",reflect_v|add|reflect_h|add|add,5,65.64
P_1769032023139_3mzliskl7,8,2,2,1,reflect_h -> add -> add -> add,"[""reflect_h"",""add"",""add"",""add""]","[""reflect_h"",""add"",""add"",""add""]","[""W1 = reflect_h(line_h)"",""W2 = add(line_h, W1)"",""W3 = add(W2, H137)"",""W4 = add(square, W3)""]","W1 = reflect_h(line_h) ; W2 = add(line_h, W1) ; W3 = add(W2, H137) ; W4 = add(square, W3)",reflect_h|add|add|add,4,35.029
P_1769032023139_3mzliskl7,8,3,3,1,reflect_h -> add -> add -> add -> invert,"[""reflect_h"",""add"",""add"",""add"",""invert""]","[""reflect_h"",""add"",""add"",""add"",""invert""]","[""W1 = reflect_h(line_h)"",""W2 = add(line_h, W1)"",""W3 = add(W2, H137)"",""W4 = add(square, W3)"",""W5 = invert(W4)""]","W1 = reflect_h(line_h) ; W2 = add(line_h, W1) ; W3 = add(W2, H137) ; W4 = add(square, W3) ; W5 = invert(W4)",reflect_h|add|add|add|invert,5,43.876
P_1769032023139_3mzliskl7,8,4,4,1,reflect_h -> add -> add -> invert -> reflect_h -> invert -> add -> invert -> invert -> add -> invert -> overlap -> overlap -> invert -> subtract -> reflect_v -> subtract,"[""reflect_h"",""add"",""add"",""invert"",""reflect_h"",""invert"",""add"",""invert"",""invert"",""add"",""invert"",""overlap"",""overlap"",""invert"",""subtract"",""reflect_v"",""subtract""]","[""reflect_h"",""add"",""add"",""invert"",""reflect_h"",""invert"",""add"",""invert"",""invert"",""add"",""invert"",""overlap"",""overlap"",""invert"",""subtract"",""reflect_v"",""subtract""]","[""W1 = reflect_h(diag)"",""W2 = add(diag, W1)"",""W3 = add(square, W2)"",""W4 = invert(W3)"",""W5 = reflect_h(tri)"",""W6 = invert(W5)"",""W7 = add(W6, W5)"",""W8 = invert(diag)"",""W9 = invert(W1)"",""W10 = add(W8, W9)"",""W11 = invert(W9)"",""W12 = overlap(W9, diag)"",""W13 = overlap(diag, W10)"",""W14 = invert(W8)"",""W15 = subtract(square, diag)"",""W16 = reflect_v(diag)"",""W17 = subtract(W15, W16)""]","W1 = reflect_h(diag) ; W2 = add(diag, W1) ; W3 = add(square, W2) ; W4 = invert(W3) ; W5 = reflect_h(tri) ; W6 = invert(W5) ; W7 = add(W6, W5) ; W8 = invert(diag) ; W9 = invert(W1) ; W10 = add(W8, W9) ; W11 = invert(W9) ; W12 = overlap(W9, diag) ; W13 = overlap(diag, W10) ; W14 = invert(W8) ; W15 = subtract(square, diag) ; W16 = reflect_v(diag) ; W17 = subtract(W15, W16)",reflect_h|add|add|invert|reflect_h|invert|add|invert|invert|add|invert|overlap|overlap|invert|subtract|reflect_v|subtract,17,340.486
P_1769032023139_3mzliskl7,8,5,5,1,reflect_h -> add -> add,"[""reflect_h"",""add"",""add""]","[""reflect_h"",""add"",""add""]","[""W1 = reflect_h(diag)"",""W2 = add(diag, W1)"",""W3 = add(square, W2)""]","W1 = reflect_h(diag) ; W2 = add(diag, W1) ; W3 = add(square, W2)",reflect_h|add|add,3,30.56
P_1769032023139_3mzliskl7,8,6,6,1,add -> add -> invert,"[""add"",""add"",""invert""]","[""add"",""add"",""invert""]","[""W1 = add(diag, H141)"",""W2 = add(W1, square)"",""W3 = invert(W2)""]","W1 = add(diag, H141) ; W2 = add(W1, square) ; W3 = invert(W2)",add|add|invert,3,29.011
P_1769032023139_3mzliskl7,8,7,7,1,add,"[""add""]","[""add""]","[""W1 = add(H139, H142)""]","W1 = add(H139, H142)",add,1,12.861
P_1769032023139_3mzliskl7,8,8,8,1,overlap,"[""overlap""]","[""overlap""]","[""W1 = overlap(H137, H138)""]","W1 = overlap(H137, H138)",overlap,1,42.61
P_1769032023139_3mzliskl7,8,9,9,1,overlap -> add,"[""overlap"",""add""]","[""overlap"",""add""]","[""W1 = overlap(H137, H138)"",""W2 = add(square, W1)""]","W1 = overlap(H137, H138) ; W2 = add(square, W1)",overlap|add,2,23.328
P_1769032023139_3mzliskl7,8,10,10,1,invert,"[""invert""]","[""invert""]","[""W1 = invert(H148)""]",W1 = invert(H148),invert,1,25.192
P_1769032023139_3mzliskl7,8,11,11,1,invert -> add,"[""invert"",""add""]","[""invert"",""add""]","[""W1 = invert(H139)"",""W2 = add(W1, H147)""]","W1 = invert(H139) ; W2 = add(W1, H147)",invert|add,2,27.877
P_1769032023139_3mzliskl7,8,12,12,1,subtract,"[""subtract""]","[""subtract""]","[""W1 = subtract(H140, H147)""]","W1 = subtract(H140, H147)",subtract,1,57.328
P_1769032023139_3mzliskl7,8,13,13,1,subtract,"[""subtract""]","[""subtract""]","[""W1 = subtract(H142, H147)""]","W1 = subtract(H142, H147)",subtract,1,32.861
P_1769032023139_3mzliskl7,8,14,14,1,add -> subtract,"[""add"",""subtract""]","[""add"",""subtract""]","[""W1 = add(H139, H142)"",""W2 = subtract(W1, H147)""]","W1 = add(H139, H142) ; W2 = subtract(W1, H147)",add|subtract,2,44.11
P_1769032694626_poflme9zw,9,1,1,1,add -> reflect_h -> reflect_v -> add -> add,"[""add"",""reflect_h"",""reflect_v"",""add"",""add""]","[""add"",""reflect_h"",""reflect_v"",""add"",""add""]","[""W1 = add(line_h, line_v)"",""W2 = reflect_h(line_h)"",""W3 = reflect_v(line_v)"",""W4 = add(W2, W3)"",""W5 = add(W1, W4)""]","W1 = add(line_h, line_v) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = add(W2, W3) ; W5 = add(W1, W4)",add|reflect_h|reflect_v|add|add,5,177.028
P_1769032694626_poflme9zw,9,2,2,1,add -> add -> add,"[""add"",""add"",""add""]","[""add"",""add"",""add""]","[""W1 = add(H154, H155)"",""W2 = add(H153, W1)"",""W3 = add(W2, square)""]","W1 = add(H154, H155) ; W2 = add(H153, W1) ; W3 = add(W2, square)",add|add|add,3,58.496
P_1769032694626_poflme9zw,9,3,3,1,invert -> subtract,"[""invert"",""subtract""]","[""invert"",""subtract""]","[""W1 = invert(H157)"",""W2 = subtract(W1, square)""]","W1 = invert(H157) ; W2 = subtract(W1, square)",invert|subtract,2,62.577
P_1769032694626_poflme9zw,9,4,4,1,subtract -> reflect_v -> subtract -> subtract,"[""subtract"",""reflect_v"",""subtract"",""subtract""]","[""subtract"",""reflect_v"",""subtract"",""subtract""]","[""W1 = subtract(square, diag)"",""W2 = reflect_v(diag)"",""W3 = subtract(square, W2)"",""W4 = subtract(W1, W2)""]","W1 = subtract(square, diag) ; W2 = reflect_v(diag) ; W3 = subtract(square, W2) ; W4 = subtract(W1, W2)",subtract|reflect_v|subtract|subtract,4,150.272
P_1769032694626_poflme9zw,9,5,5,1,add -> add,"[""add"",""add""]","[""add"",""add""]","[""W1 = add(diag, H160)"",""W2 = add(square, W1)""]","W1 = add(diag, H160) ; W2 = add(square, W1)",add|add,2,51.665
P_1769032694626_poflme9zw,9,6,6,1,invert,"[""invert""]","[""invert""]","[""W1 = invert(H164)""]",W1 = invert(H164),invert,1,31.566
P_1769032694626_poflme9zw,9,7,7,1,add,"[""add""]","[""add""]","[""W1 = add(H163, H157)""]","W1 = add(H163, H157)",add,1,35.529
P_1769032694626_poflme9zw,9,8,8,1,subtract -> overlap -> overlap -> add -> reflect_h -> add,"[""subtract"",""overlap"",""overlap"",""add"",""reflect_h"",""add""]","[""subtract"",""overlap"",""overlap"",""add"",""reflect_h"",""add""]","[""W1 = subtract(H166, H163)"",""W2 = overlap(line_h, line_v)"",""W3 = overlap(H154, H155)"",""W4 = add(W2, W3)"",""W5 = reflect_h(W4)"",""W6 = add(W4, W5)""]","W1 = subtract(H166, H163) ; W2 = overlap(line_h, line_v) ; W3 = overlap(H154, H155) ; W4 = add(W2, W3) ; W5 = reflect_h(W4) ; W6 = add(W4, W5)",subtract|overlap|overlap|add|reflect_h|add,6,419.832
P_1769032694626_poflme9zw,9,9,9,1,add,"[""add""]","[""add""]","[""W1 = add(square, H172)""]","W1 = add(square, H172)",add,1,18.769
P_1769032694626_poflme9zw,9,10,10,1,invert,"[""invert""]","[""invert""]","[""W1 = invert(H173)""]",W1 = invert(H173),invert,1,21.309
P_1769032694626_poflme9zw,9,11,11,1,invert,"[""invert""]","[""invert""]","[""W1 = invert(H167)""]",W1 = invert(H167),invert,1,20.316
P_1769032694626_poflme9zw,9,12,12,1,add,"[""add""]","[""add""]","[""W1 = add(square, H167)""]","W1 = add(square, H167)",add,1,23.437
P_1769032694626_poflme9zw,9,13,13,1,subtract,"[""subtract""]","[""subtract""]","[""W1 = subtract(H163, H172)""]","W1 = subtract(H163, H172)",subtract,1,40.348
P_1769032694626_poflme9zw,9,14,14,1,add,"[""add""]","[""add""]","[""W1 = add(H177, H167)""]","W1 = add(H177, H167)",add,1,36.638
P_1769033412195_cudazu9tc,10,1,1,1,add -> reflect_v -> add -> reflect_h -> add -> add -> add,"[""add"",""reflect_v"",""add"",""reflect_h"",""add"",""add"",""add""]","[""add"",""reflect_v"",""add"",""reflect_h"",""add"",""add"",""add""]","[""W1 = add(line_v, blank)"",""W2 = reflect_v(line_v)"",""W3 = add(line_h, blank)"",""W4 = reflect_h(line_h)"",""W5 = add(line_v, W2)"",""W6 = add(line_h, W4)"",""W7 = add(W5, W6)""]","W1 = add(line_v, blank) ; W2 = reflect_v(line_v) ; W3 = add(line_h, blank) ; W4 = reflect_h(line_h) ; W5 = add(line_v, W2) ; W6 = add(line_h, W4) ; W7 = add(W5, W6)",add|reflect_v|add|reflect_h|add|add|add,7,50.831
P_1769033412195_cudazu9tc,10,2,2,1,add -> add -> reflect_v -> reflect_h -> add -> add -> add,"[""add"",""add"",""reflect_v"",""reflect_h"",""add"",""add"",""add""]","[""add"",""add"",""reflect_v"",""reflect_h"",""add"",""add"",""add""]","[""W1 = add(square, blank)"",""W2 = add(line_v, line_h)"",""W3 = reflect_v(line_v)"",""W4 = reflect_h(line_h)"",""W5 = add(W3, W4)"",""W6 = add(W2, W5)"",""W7 = add(square, W6)""]","W1 = add(square, blank) ; W2 = add(line_v, line_h) ; W3 = reflect_v(line_v) ; W4 = reflect_h(line_h) ; W5 = add(W3, W4) ; W6 = add(W2, W5) ; W7 = add(square, W6)",add|add|reflect_v|reflect_h|add|add|add,7,70.186
P_1769033412195_cudazu9tc,10,3,3,1,invert -> invert -> invert -> overlap -> reflect_h -> reflect_v -> overlap -> overlap -> overlap,"[""invert"",""invert"",""invert"",""overlap"",""reflect_h"",""reflect_v"",""overlap"",""overlap"",""overlap""]","[""invert"",""invert"",""invert"",""overlap"",""reflect_h"",""reflect_v"",""overlap"",""overlap"",""overlap""]","[""W1 = invert(square)"",""W2 = invert(line_v)"",""W3 = invert(line_h)"",""W4 = overlap(W2, W3)"",""W5 = reflect_h(W3)"",""W6 = reflect_v(W2)"",""W7 = overlap(W5, W6)"",""W8 = overlap(W4, W7)"",""W9 = overlap(W1, W8)""]","W1 = invert(square) ; W2 = invert(line_v) ; W3 = invert(line_h) ; W4 = overlap(W2, W3) ; W5 = reflect_h(W3) ; W6 = reflect_v(W2) ; W7 = overlap(W5, W6) ; W8 = overlap(W4, W7) ; W9 = overlap(W1, W8)",invert|invert|invert|overlap|reflect_h|reflect_v|overlap|overlap|overlap,9,142.847
P_1769033412195_cudazu9tc,10,4,4,1,subtract -> reflect_v -> invert -> subtract,"[""subtract"",""reflect_v"",""invert"",""subtract""]","[""subtract"",""reflect_v"",""invert"",""subtract""]","[""W1 = subtract(square, diag)"",""W2 = reflect_v(diag)"",""W3 = invert(W2)"",""W4 = subtract(W1, W2)""]","W1 = subtract(square, diag) ; W2 = reflect_v(diag) ; W3 = invert(W2) ; W4 = subtract(W1, W2)",subtract|reflect_v|invert|subtract,4,71.817
P_1769033412195_cudazu9tc,10,5,5,1,add -> reflect_v -> add,"[""add"",""reflect_v"",""add""]","[""add"",""reflect_v"",""add""]","[""W1 = add(square, diag)"",""W2 = reflect_v(diag)"",""W3 = add(W1, W2)""]","W1 = add(square, diag) ; W2 = reflect_v(diag) ; W3 = add(W1, W2)",add|reflect_v|add,3,17.209
P_1769033412195_cudazu9tc,10,6,6,1,invert -> invert -> reflect_h -> overlap -> overlap,"[""invert"",""invert"",""reflect_h"",""overlap"",""overlap""]","[""invert"",""invert"",""reflect_h"",""overlap"",""overlap""]","[""W1 = invert(square)"",""W2 = invert(diag)"",""W3 = reflect_h(W2)"",""W4 = overlap(W1, W2)"",""W5 = overlap(W4, W3)""]","W1 = invert(square) ; W2 = invert(diag) ; W3 = reflect_h(W2) ; W4 = overlap(W1, W2) ; W5 = overlap(W4, W3)",invert|invert|reflect_h|overlap|overlap,5,34.788
P_1769033412195_cudazu9tc,10,7,7,1,invert -> add -> reflect_h -> reflect_v -> add -> add -> add -> reflect_v -> add -> add,"[""invert"",""add"",""reflect_h"",""reflect_v"",""add"",""add"",""add"",""reflect_v"",""add"",""add""]","[""invert"",""add"",""reflect_h"",""reflect_v"",""add"",""add"",""add"",""reflect_v"",""add"",""add""]","[""W1 = invert(square)"",""W2 = add(line_h, line_v)"",""W3 = reflect_h(line_h)"",""W4 = reflect_v(line_v)"",""W5 = add(W3, W4)"",""W6 = add(W2, W5)"",""W7 = add(diag, blank)"",""W8 = reflect_v(diag)"",""W9 = add(diag, W8)"",""W10 = add(W6, W9)""]","W1 = invert(square) ; W2 = add(line_h, line_v) ; W3 = reflect_h(line_h) ; W4 = reflect_v(line_v) ; W5 = add(W3, W4) ; W6 = add(W2, W5) ; W7 = add(diag, blank) ; W8 = reflect_v(diag) ; W9 = add(diag, W8) ; W10 = add(W6, W9)",invert|add|reflect_h|reflect_v|add|add|add|reflect_v|add|add,10,82.587
P_1769033412195_cudazu9tc,10,8,8,1,add -> reflect_v -> add -> add -> reflect_h -> add -> invert -> subtract,"[""add"",""reflect_v"",""add"",""add"",""reflect_h"",""add"",""invert"",""subtract""]","[""add"",""reflect_v"",""add"",""add"",""reflect_h"",""add"",""invert"",""subtract""]","[""W1 = add(line_v, blank)"",""W2 = reflect_v(line_v)"",""W3 = add(line_v, W2)"",""W4 = add(line_h, blank)"",""W5 = reflect_h(line_h)"",""W6 = add(line_h, W5)"",""W7 = invert(W6)"",""W8 = subtract(W3, W7)""]","W1 = add(line_v, blank) ; W2 = reflect_v(line_v) ; W3 = add(line_v, W2) ; W4 = add(line_h, blank) ; W5 = reflect_h(line_h) ; W6 = add(line_h, W5) ; W7 = invert(W6) ; W8 = subtract(W3, W7)",add|reflect_v|add|add|reflect_h|add|invert|subtract,8,121.697
P_1769033412195_cudazu9tc,10,9,9,1,add -> reflect_v -> add -> add -> add -> reflect_h -> add -> invert -> invert -> subtract -> add,"[""add"",""reflect_v"",""add"",""add"",""add"",""reflect_h"",""add"",""invert"",""invert"",""subtract"",""add""]","[""add"",""reflect_v"",""add"",""add"",""add"",""reflect_h"",""add"",""invert"",""invert"",""subtract"",""add""]","[""W1 = add(square, blank)"",""W2 = reflect_v(line_v)"",""W3 = add(line_v, blank)"",""W4 = add(W2, line_v)"",""W5 = add(line_h, blank)"",""W6 = reflect_h(line_h)"",""W7 = add(line_h, W6)"",""W8 = invert(W7)"",""W9 = invert(W4)"",""W10 = subtract(W7, W9)"",""W11 = add(square, W10)""]","W1 = add(square, blank) ; W2 = reflect_v(line_v) ; W3 = add(line_v, blank) ; W4 = add(W2, line_v) ; W5 = add(line_h, blank) ; W6 = reflect_h(line_h) ; W7 = add(line_h, W6) ; W8 = invert(W7) ; W9 = invert(W4) ; W10 = subtract(W7, W9) ; W11 = add(square, W10)",add|reflect_v|add|add|add|reflect_h|add|invert|invert|subtract|add,11,83.842
P_1769033412195_cudazu9tc,10,10,10,1,invert -> add -> reflect_v -> add -> invert -> add -> reflect_h -> add -> invert -> subtract -> add -> add -> add -> add -> subtract -> subtract -> subtract -> invert -> subtract -> invert -> subtract -> subtract,"[""invert"",""add"",""reflect_v"",""add"",""invert"",""add"",""reflect_h"",""add"",""invert"",""subtract"",""add"",""add"",""add"",""add"",""subtract"",""subtract"",""subtract"",""invert"",""subtract"",""invert"",""subtract"",""subtract""]","[""invert"",""add"",""reflect_v"",""add"",""invert"",""add"",""reflect_h"",""add"",""invert"",""subtract"",""add"",""add"",""add"",""add"",""subtract"",""subtract"",""subtract"",""invert"",""subtract"",""invert"",""subtract"",""subtract""]","[""W1 = invert(square)"",""W2 = add(line_v, blank)"",""W3 = reflect_v(line_v)"",""W4 = add(line_v, W3)"",""W5 = invert(W4)"",""W6 = add(line_h, blank)"",""W7 = reflect_h(line_h)"",""W8 = add(line_h, W7)"",""W9 = invert(W8)"",""W10 = subtract(W9, W5)"",""W11 = add(line_v, blank)"",""W12 = add(line_v, blank)"",""W13 = add(line_v, line_v)"",""W14 = add(square, blank)"",""W15 = subtract(W4, square)"",""W16 = subtract(W8, square)"",""W17 = subtract(W15, W16)"",""W18 = invert(W17)"",""W19 = subtract(W4, W9)"",""W20 = invert(W19)"",""W21 = subtract(W20, W1)"",""W22 = subtract(W20, square)""]","W1 = invert(square) ; W2 = add(line_v, blank) ; W3 = reflect_v(line_v) ; W4 = add(line_v, W3) ; W5 = invert(W4) ; W6 = add(line_h, blank) ; W7 = reflect_h(line_h) ; W8 = add(line_h, W7) ; W9 = invert(W8) ; W10 = subtract(W9, W5) ; W11 = add(line_v, blank) ; W12 = add(line_v, blank) ; W13 = add(line_v, line_v) ; W14 = add(square, blank) ; W15 = subtract(W4, square) ; W16 = subtract(W8, square) ; W17 = subtract(W15, W16) ; W18 = invert(W17) ; W19 = subtract(W4, W9) ; W20 = invert(W19) ; W21 = subtract(W20, W1) ; W22 = subtract(W20, square)",invert|add|reflect_v|add|invert|add|reflect_h|add|invert|subtract|add|add|add|add|subtract|subtract|subtract|invert|subtract|invert|subtract|subtract,22,606.774
P_1769033412195_cudazu9tc,10,11,11,1,add -> reflect_v -> add -> reflect_h -> add -> add -> add -> invert -> subtract -> invert -> subtract -> invert -> invert -> invert -> subtract -> add,"[""add"",""reflect_v"",""add"",""reflect_h"",""add"",""add"",""add"",""invert"",""subtract"",""invert"",""subtract"",""invert"",""invert"",""invert"",""subtract"",""add""]","[""add"",""reflect_v"",""add"",""reflect_h"",""add"",""add"",""add"",""invert"",""subtract"",""invert"",""subtract"",""invert"",""invert"",""invert"",""subtract"",""add""]","[""W1 = add(line_v, blank)"",""W2 = reflect_v(line_v)"",""W3 = add(line_h, blank)"",""W4 = reflect_h(line_h)"",""W5 = add(line_v, W2)"",""W6 = add(line_h, W4)"",""W7 = add(W5, W6)"",""W8 = invert(W7)"",""W9 = subtract(W6, W5)"",""W10 = invert(W9)"",""W11 = subtract(W5, W6)"",""W12 = invert(W11)"",""W13 = invert(W5)"",""W14 = invert(W6)"",""W15 = subtract(W5, W14)"",""W16 = add(W8, W15)""]","W1 = add(line_v, blank) ; W2 = reflect_v(line_v) ; W3 = add(line_h, blank) ; W4 = reflect_h(line_h) ; W5 = add(line_v, W2) ; W6 = add(line_h, W4) ; W7 = add(W5, W6) ; W8 = invert(W7) ; W9 = subtract(W6, W5) ; W10 = invert(W9) ; W11 = subtract(W5, W6) ; W12 = invert(W11) ; W13 = invert(W5) ; W14 = invert(W6) ; W15 = subtract(W5, W14) ; W16 = add(W8, W15)",add|reflect_v|add|reflect_h|add|add|add|invert|subtract|invert|subtract|invert|invert|invert|subtract|add,16,201.731
